Company Name,Competitors,Founded,Headquarters,Industry,Job Description,Job Title,Location,Rating,Revenue,Salary Estimate,Sector,Size,Type of ownership
"Brighthouse Financial
3.7",-1,2017,-1,Insurance Carriers,"Req Id: 2775
Job location: Morristown, NJ, US, 07960

Brighthouse Financial is on a mission to help people achieve financial security. As one of the largest providers of annuities and life insurance in the U.S., we specialize in products designed to help people protect what they've earned and ensure it lasts. We are built on a foundation of experience and knowledge, which allows us to keep our promises and provide the value they deserve.

At Brighthouse Financial, we're fostering a culture where diverse backgrounds and experiences are celebrated, and different ideas are heard and respected. We believe that by creating an inclusive workplace, we're better able to attract and retain our talent, provide valuable solutions that meet the needs of our advisors and their clients, and deliver on our mission of helping more people achieve financial security. We're se eking passionate, high-performing team member to join us. Sound like you? Read on.

Location: Charlotte, NC or Morristown, NJ

How This Role Contributes to Brighthouse Financial:

This position supports variable and fixed annuity asset liability management and risk assessment. This role reports to the AVP in variable annuity asset liability management with a focus on reporting, modeling, sensitivity analysis, project management, and documentation as a utility player. The position requires someone with strong quantitative skills who will play a key role in analyzing key risk sensitivities around ALM framework, support new and existing derivative management initiatives on the asset and liability products, analyzing big data processing, and reporting using MS Office, database and various programming language. This person will also be a major contributor to the next generation VA hedging platform. This is a great opportunity for a derivatives expert to apply the expertise to challenges in the life insurance industry.

Key Responsibilities:

Support hedging and risk management of variable annuities with living benefit riders (VA), fixed annuities (FA), and structured indexed annuities (SIA).
Lead the development and maintenance of our Numerix derivatives analytic library
Perform hedge performance analysis and attribution reporting using Python, MS Office products, SQL, etc.
Coordinate with business constituents in maintaining consistency in production process, implementation schedule, assumptions, modeling approach and regulatory and reporting changes.
Derivative asset valuation in support of the reporting, hedging performance attribution, projection and risk measurement.
Lead the modeling and production process of scenario generators
Contribute to the next generation in-house VA hedging platform
Communicate results and analysis to senior staff and key internal stakeholders

Essential Business Experience and Technical Skills:

3-5 years related work experience with derivatives, assets, and liabilities
Good understanding of regulatory requirements applicable to the derivatives markets, and a broad knowledge of trading, operational, and risk management practices
Prior experience of quantitative and statistical modeling and analysis, focused on investments
Understanding of fixed income securities, derivatives, insurance liabilities and risk management
Preferred experience in Numerix analytics library including CAIL and CAS
Experience with Python, R, SQL, Access, VBA, Aladdin and/or Bloomberg preferred
Strong interpersonal, oral, and written communication skills, positive attitude along with intellectual curiosity
Good project management skills
Can adjust work resources and deadlines in response to changing business priorities

Our Benefits:

Time Off: Minimum of 20 days of paid time off and 13 paid company holidays per full calendar year, plus paid volunteer time
Financial Benefits: 401(k) savings plan with up to a 6% annual match and 3% annual company nondiscretionary contribution of eligible compensation, annual incentive plan, and employee stock purchase plan
Family Focus: Up to 16 weeks of paid leave for new parents, back-up care program, dependent care flexible spending account, and adoption and surrogacy assistance
Health and Welfare: Competitive medical, vision and dental plans, plus tax-free health savings accounts with potential company contributions up to $1,000 per family
Wellness Programs: Wellness incentive platform, employee assistance program, financial counseling services, fitness center discounts and more
Life & Disability Benefits: Company-paid basic life insurance and short-term disability

PI125052829",Quantitative Analyst,"Morristown, NJ",3.7,Unknown / Non-Applicable,78 k$-156 k$ (Esti. de Glassdoor),Insurance,1001 to 5000 Employees,Company - Public
"Two Sigma
4.4",-1,2001,-1,Investment Banking & Asset Management,"Two Sigma is a different kind of investment manager. Since 2001, we have used data science and technology to derive insights that forecast the future and discover value in markets worldwide. Our team of scientists, technologists and academics looks beyond traditional finance to understand the bigger picture and develop creative solutions to some of the world’s most challenging economic problems. Our work spans across markets and industries, from insurance and securities to private investments and new ventures.

We are looking for a strong technologist with solid math and statistical abilities to join our team as an Analyst. The role includes managing various day-to-day processes in Global Live and their improvements, including tool building, data analysis, and writing solid and helpful documentation.

You will take on the following responsibilities:
Develop a comprehensive understanding of equity markets
Develop a deep understanding of many aspects of systematic portfolio management
Document processes we do manually, with an eye to automation
Use and create tools for quantitative portfolio analysis
Prepare, review and present reporting on the portfolios
Improve the business by collaborating on initiatives and proactively analyzing data
You should possess the following qualifications:
2+ years of work experience, preferably in finance
At a minimum, BA/BS in computer science, applied mathematics, or another technical discipline.
Strong programming skills, especially in either python, groovy, or java.
Preferably knowledge of quantitative trading and portfolio construction
Interest in the Markets and Portfolio Management
Strong Communication Skills
Observant, High Attention to Detail
You will enjoy the following benefits:
Core Benefits: Fully paid medical and dental insurance premiums for employees and dependents, competitive 401k match, employer-paid life & disability insurance
Perks: Onsite gyms with laundry service, wellness activities, casual dress, snacks, game rooms
Learning: Tuition reimbursement, conference and training sponsorship
Time Off: Generous vacation and unlimited sick days, competitive paid caregiver leaves
We are proud to be an equal opportunity workplace. We do not discriminate based upon race, religion, color, national origin, sex, sexual orientation, gender identity/expression, age, status as a protected veteran, status as an individual with a disability, or any other applicable legally protected characteristics.",Quantitative Systems Analyst,"New York, NY",4.4,Unknown / Non-Applicable,62 k$-117 k$ (Esti. de Glassdoor),Finance,1001 to 5000 Employees,Company - Private
"Agoda
4.2",-1,2005,-1,Internet,"About Agoda

Agoda is an online travel booking platform for accommodation, flights, and more. We build and deploy cutting edge technology that connects travelers with more than 2.5 million accommodations globally. Based in Asia and part of Booking Holdings, our 4,000+ talents coming from 90+ different nationalities foster a work environment rich in diversity, creativity, and collaboration. We innovate through a culture of experimentation and ownership, enabling our customers to experience the world.

Get to Know our Team:

The Business Performance and Operations team works closely with the Supply department (Partner Services) to identify and optimize growth opportunities on hotel supply for Agoda. The team is responsible for, but not limited to, sales performance, operational efficiency, business analytics and leading and managing experiments to measure and implement changes. We collaborate with multiple internal departments and produce highly visible results backed up by data. Utilizing powerful tools and possessing an end-to-end view of how Agoda works, the Business Performance and Operations team offers a unique opportunity for anyone who thrives in challenging and fast-paced environments.

The Opportunity:
As a Data Analyst at Agoda you will use your data skills and business mindset to make a difference in our fast-growing global business across our top hotel partners. The Data Analyst will be involved in strategic projects and work closely with commercial owners and business stakeholders, using data to identify and translate business needs and opportunities into actionable initiatives.

In this Role, you'll get to:
Analyze and develop reports and models we can use for performance tracking and optimization, drawing recommendations from your analysis
Build, enhance and streamline reports that help team members and internal stakeholders understand the performance of their business and identify action points
Perform ad-hoc analysis on business trends and results, translate and communicate results to leadership and key stakeholders
Provide input on ongoing projects and initiatives to reach business targets; run and assess your proposed actions in collaboration with the relevant teams
Make recommendations for new metrics, techniques, and strategies to improve team performance and measurement in the future
What you'll Need to Succeed:
Minimum 3 yearsexperience working in a business analysis, data analysis, reporting or business strategy role
Bachelor's Degree or higher in computer sciences, engineering, mathematics, statistics, data science or a related degree program.
Expert domain of data analysis and data visualization tools and software such as Excel, SQL, Tableau, Python, R, or similar
Working proficiency in XML, data modelling, data architecture & components
Analytical mindset, with proven track record in using data to measure performance and make decisions
Excellent problem-solving skills including the ability to analyze and resolve complex problems using data
Ability to work under pressure in a fast-paced and rapidly changing environment
Excellent communication skills (both verbal and written), with proven ability to convey complex messages clearly and with conviction
Team player with strong interpersonal, relationship-building, and stakeholder management skills
It's Great if you Have:
MBA or Masters in a quantitative subject (computer science, data science, analytics, mathematics, engineering, science, economics and finance etc.)
B2B experience
Equal Opportunity Employer

At Agoda, we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person's merit and qualifications. We are committed to providing equal employment opportunity regardless of sex, age, race, color, national origin, religion, marital status, pregnancy, sexual orientation, gender identity, disability, citizenship, veteran or military status, and other legally protected characteristics.

To all recruitment agencies: Agoda does not accept third party resumes. Please do not send resumes to our jobs alias, Agoda employees or any other organization location. Agoda is not responsible for any fees related to unsolicited resumes.

By applying to this job, you agree that Agoda may process your personal data in accordance with Agoda applicants privacy statement.

Before you're done:

#STRA #ANLS #newyork
LI-SM31",Data Analyst (New York based),"New York, NY",4.2,$500 million to $1 billion (USD),56 k$-104 k$ (Esti. de Glassdoor),Information Technology,1001 to 5000 Employees,Company - Public
"Codecademy
3.5",-1,2011,-1,Education Training Services,"Hello, World! Codecademy has helped tens of millions of learners upgrade their careers, build meaningful projects and gain confidence in their skills with engaging, accessible, and flexible education on programming and data skills. We provide hands-on interactive lessons ranging from Python to R to Javascript and everything in between. Our learners have gone on to start companies, new jobs, and new lives thanks to what they've learned with Codecademy, and we're thrilled to be working to take that impact to the next level.

Codecademy was started in 2011 by two college students in a dorm room at Columbia that were frustrated by the huge gap between education and employment. Almost a decade later, we are a rapidly growing, diverse team of 100+ headquartered in SoHo, NYC. We've raised over $40m in venture capital funding from top investors including Union Square Ventures, Kleiner Perkins, Naspers, Y Combinator, and more.

If you want to help build a business that impacts tens of millions of people each year and helps them lead better lives, join us!

WHAT YOU'LL DO


As a Senior Data Scientist focused on Analytics and Experimentation, you will work on an impactful team to analyze our millions of learners. We capture terabytes of data on how users engage with our platform. As Codecademy continues our rapid growth, we want to build a data-informed culture that uses hypothesis testing, experimentation, and exploratory analysis to guide our decision-making process.

You will join a small but growing team of Data Scientists. Our work is in high-demand from all corners of Codecademy. We work on a variety of problems and have a real impact on the business and product. If you have a proven background in data and you are excited about making code education accessible, we want to hear from you!
Apply exploratory data analysis and causal inference to answer complex questions about our users.
Collaborate across teams to help scope out analyses, through a combination of experimentation (A/B testing) and quantitative user research.
Design experiments and evaluate results to test and iterate on new product ideas.
Perform deep dives into our data to build understanding around our business.
Work with our data science and engineering teams to maintain data integrity.
Mentor and consult with a cross-functional team of data scientists, engineers, and product managers.
WHAT YOU'LL NEED
4+ years of industry experience in a data science, analytics, or research role. You have strong data intuition and knowledge of using data science best practices to drive impact.
Expert SQL - we use Redshift. Able to write clean and efficient queries on massive datasets.
Applied experience with statistical programming languages - R or Python preferred.
Understanding of statistical methods and when to use them (hypothesis testing, experiment design, sampling).
Strong written and verbal communicator. Comfortable working with loosely defined research problems.
WHAT WILL MAKE YOU STAND OUT
Background in experimentation and measurement. We're looking to streamline our experimentation reporting framework and would love your help.
A workflow involving reproducible methods and version control - Github, Docker.
Experience automating dashboards with business intelligence tools - Looker, Tableau.
Passionate about teaching the world to code. Empathy for our learners, such as a background in education or past experience using our site.
INTERESTING QUESTIONS YOU MIGHT WORK ON
What are some different types of patterns in user behavior?
What do we do when we are unable to conduct an experiment?
Can we predict whether a learner will renew their subscription?
How do we improve the relevance of our course recommendations?
How can we scale our existing processes? (experiment reporting framework, forecasting)
At Codecademy, we are committed to teaching people the skills they need to upgrade their careers. Codecademy aims to educate a richly diverse demographic of learners with our product and in order to accomplish this, we believe our team should reflect that rich diversity. Our company celebrates diversity in all of its forms-- race, gender, color, national origin, marital status, sexuality, religion, veteran status, age, ability, disability status-- and works to create an inclusive workplace where people of all backgrounds and beliefs are empowered to better their futures.","Senior Data Scientist, Analytics & Inference","New York, NY",3.5,Unknown / Non-Applicable,97 k$-160 k$ (Esti. de Glassdoor),Education,51 to 200 Employees,Company - Private
"MarketAxess
4.4",-1,2000,-1,Investment Banking & Asset Management,"Company Description

Over the last twenty years, MarketAxess has completely revolutionized the fixed-income market by creating a single platform using proprietary technology that connects the world’s most influential financial institutions. Today, more than 1,700 institutional investors and broker-dealer firms rely on us to bring them accurate market data to assist with their trading decisions, connectivity solutions that facilitate straight-through processing and technology services to optimize trading environments.

What You’ll Do
Analyze corporate bond market activity and market micro-structure, including proprietary MarketAxess data.
Take ownership for existing research models and reports.
Assist in the development and production of new models and reports.
Create and maintain presentation materials for internal and external meetings.
Work closely with global product and development teams to enrich client trading solutions.
Other duties as assigned.


What You Bring to the Table
Hold an undergraduate or masters’ degree in a quantitative field (science, engineering, mathematics, or statistics is preferred).
Analyst candidates must be graduating in Dec 2020 or May 2021 and Intern candidates in May 2022.
Superb interpersonal skills.
Highly analytical, flexible and creative problem solver.
Well-organized, team-oriented, intellectually curious, and proactive.
Prioritize and multi-task as needed.
Strong quantitative and analytical skills. This will ultimately require a mix of advanced querying / programming capabilities including R/Python, SQL, AWS, Tableau, and possibly intermediate machine learning.
Introductory understanding of US and global fixed income markets.
Strong data capabilities, including working with complex datasets.
Strong written and verbal communication skills.


What’s In It For You

In addition to working on cutting edge technology and in our culture of innovation, collaboration, and openness, we offer:
Healthcare and wellness options
401(k) match
Employee stock purchase plan
Training and tuition assistance
Other perks include generous time-off policies, stipends for gym memberships, exercise equipment and similar, and access to on-site healthcare
MarketAxess Corporation and its affiliates provide equal employment opportunities to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, sexual orientation, gender identity and/or expression, genetic information, marital status, veteran status or any other characteristic prohibited by federal and state law.",Research Analyst/Intern,"New York, NY",4.4,$100 to $500 million (USD),-1,Finance,501 to 1000 Employees,Company - Public
"PDT Partners
4.4",-1,1993,-1,Investment Banking & Asset Management,"Experience: Entry-level (PhD Program) or Experienced (Postdoc, Faculty, Scientific Lab, Finance Industry)

Education: PhD in Math, Science, or Engineering disciplines
The PDT team - a quantitative investment manager - is hiring new or recent PhD graduates and experienced researchers (postdoctoral fellows, faculty, scientific lab, finance industry) to create and improve proprietary trading models and strategies while working closely with a deep bench of senior researchers.

We have a highly successful record of hiring, challenging, and retaining talented researchers from diverse academic backgrounds. Individuals interested in conducting innovative research with real-world impact seem to enjoy and excel at the types of problems we like to solve.

PDT Researchers work in small, nimble teams where merit and contribution, not seniority, drive the discussion. We strive to foster an intellectually challenging environment that encourages collaboration and innovative ideas.

In our research-driven approach to the financial markets, our Chief Scientist oversees the group-wide research agenda, ensuring team members work on the most critical and interesting problems, with a focus on research rigor and standards.

Why join us? PDT Partners has a stellar 25+ year track record and a reputation for excellence. Our goal is to be the best quantitative investment manager in the world—measured by the quality of our products, not their size. PDT's very high employee-retention rate speaks for itself. Our people are intellectually extraordinary and our community is close-knit, down-to-earth, and diverse.

Responsibilities:
Work closely with senior researchers on a variety of trading strategies and research projects, with the opportunity to conduct independent research and originate research topics over time
Contribute to the long-term success of our research-driven algorithmic trading business

Requirements:


PhD in math, statistics, physics, computer science, electrical engineering, operations research or other highly-quantitative and analytical discipline
Solid mathematical and analytical ability; exceptional problem-solving and modeling ability
Strong research intuition
Strong programming skills (Python, R, Matlab, C++)
Excellent communication and collaborative white board skills
Meticulous and detail-oriented, and innately driven to understand issues deeply
Experience with/interested in working with large data sets
Self-motivated and highly-productive, with a strong sense of ownership and urgency
Able to work collaboratively and productively with others
Enjoy solving complex, difficult, real-world problems
Entrepreneurial and creative
Finance knowledge is not required or expected",Quantitative Researcher,"New York, NY",4.4,Unknown / Non-Applicable,120 k$-234 k$ (Esti. de Glassdoor),Finance,51 to 200 Employees,Company - Private
"Bloomberg
3.9",-1,1981,-1,Computer Hardware & Software,"We're Bloomberg Enterprise Data - fast paced, innovative and expanding. We partner closely with our clients, taking time to understand their unique businesses and individual data and technology needs. Our endless selection of datasets, covering all asset types, with multiple delivery technologies and flexible scheduling mean our clients are able to get exactly the data they need, when they need it, in the format they prefer.

We'll trust you to:
Define our product strategy for packaging and structuring data to support quantitative research
Serve as subject matter experts in data science workflows and technology for capital markets use cases
Communicate effectively with internal stakeholders
Drive product strategy and execution roadmap
Your ideal skills & background:
You have worked on the buy side for 5-10 years as a quantitative researcher or data engineer
Worked with large data sets, including unconventional data sources, for back-testing and implementing production trading models
Experienced with scripting languages (e.g. Python), analytical packages (e.g. R, Matlab), compiled languages (e.g. C++), and cloud technologies
A background demonstrating analytical problem-solving skills
Experienced with machine learning and AI techniques
Bachelor's degree or equivalent work experience in STEM field. Master's degree or PhD preferred",Enterprise Data - Quantitative Research Product Manager,"New York, NY",3.9,Unknown / Non-Applicable,150 k$-282 k$ (Esti. de Glassdoor),Information Technology,10000+ Employees,Company - Private
"Two Sigma
4.4",-1,2001,-1,Investment Banking & Asset Management,"Two Sigma is a different kind of investment manager. Since 2001, we have used data science and technology to derive insights that forecast the future and discover value in markets worldwide. Our team of scientists, technologists and academics looks beyond traditional finance to understand the bigger picture and develop creative solutions to some of the world’s most challenging economic problems. Our work spans across markets and industries, from insurance and securities to private investments and new ventures.

We are looking for a quantitative researcher to join a nascent effort to source and develop event-driven trades.

You will take on the following responsibilities:
Use a rigorous scientific method and deep domain knowledge of market participants’ objectives and motivations to develop event-driven trades
Partner with our world-class data sourcing and engineering teams to track market flows in near-real time
Partner with our optimization and portfolio management teams to develop approaches for constructing these trades efficiently
Interact with trading desks and attend industry conferences to understand shifts in market behaviors
Build a team for an emerging business
You should possess the following qualifications:
Experience interacting with a wide variety of market participants, preferably but not necessarily across asset classes
Degree in a technical or quantitative discipline, like statistics, mathematics, physics, electrical engineering, or computer science (all levels welcome, from bachelor’s to doctorate)
Intermediate skills in at least one programming language like Python
Experience both managing and building teams
You will enjoy the following benefits:
Core Benefits: Fully paid medical and dental insurance premiums for employees and dependents, competitive 401k match, employer-paid life & disability insurance
Perks: Onsite gyms with laundry service, wellness activities, casual dress, snacks, game rooms
Learning: Tuition reimbursement, conference and training sponsorship
Time Off: Generous vacation and unlimited sick days, competitive paid caregiver leaves

We are proud to be an equal opportunity workplace. We do not discriminate based upon race, religion, color, national origin, sex, sexual orientation, gender identity/expression, age, status as a protected veteran, status as an individual with a disability, or any other applicable legally protected characteristics.",Quantitative Researcher - Event-Driven Trading,"New York, NY",4.4,Unknown / Non-Applicable,115 k$-220 k$ (Esti. de Glassdoor),Finance,1001 to 5000 Employees,Company - Private
"Citadel
3.9",-1,1990,-1,-1,"Job Description

The financial markets are constantly evolving and expanding. In this dynamic environment, Citadel uses leading-edge technology, fundamental research, and predictive analytics to generate and monetize insights about the future. Quantitative Developers at Citadel partner with our investment professionals and quantitative researchers in an integrated fashion to analyze data, build models & signals for alpha generation, and manage risk. As part of achieving this aim, Quantitative Developers build software solutions that leverage sophisticated statistical techniques and technologies to answer the most challenging questions in finance.

We’re looking for premier Quantitative Developers to join NXT, Citadel’s Technology Network. NXT offers a combination of training, experience, and exposure to get you to the next level in your career.

YOUR OPPORTUNITY:

Design, develop, and deploy elegant software solutions across research, alpha & signal generation and systematic trading
Partner with investment professionals and quantitative researchers to define priorities, deliver custom software solutions, and improve the investment process
Receive structured learning on technical and quantitative skills
Develop your career under the direct sponsorship of our firm’s CTO and engage with other C-level leadership
YOUR SKILLS & TALENTS:

Passion for technology, software development, and mathematics
Proficiency with one or more programming languages (e.g. C++, Python, or R)
Experience with Distributed Computing, Natural Language Processing, Machine Learning, Platform Development, Networking, System Design
Exceptional quantitative and analytical skills
Strong written and verbal communications skills
Bachelor’s, Master’s or PhD degree in Computer Science, Mathematics, Statistics, or equivalent field
About Citadel


Citadel is a global investment firm built around world-class talent, sound risk management, and innovative leading-edge technology. For a quarter of a century, Citadel’s hedge funds have delivered meaningful and measurable results to top-tier investors around the world, including sovereign wealth funds, public institutions, corporate pensions, endowments and foundations.

With an unparalleled ability to identify and execute on great ideas, Citadel’s team of more than 675 investment professionals, operating from offices including Chicago, New York, San Francisco, London, Hong Kong and Shanghai, deploy capital across all major asset classes, in all major financial markets.",NXT – Quant Developer,"New York, NY",3.9,$50 to $100 million (USD),112 k$-166 k$ (Esti. de Glassdoor),-1,1001 to 5000 Employees,Company - Private
"GameChanger
4.4",-1,2009,-1,Computer Hardware & Software,"About GameChanger:

We believe sports are important because they encourage leadership, teamwork, responsibility, and confidence—critical life lessons that have the power to propel young athletes toward meaningful futures. GameChanger recognizes that without coaches, parents, and volunteers, organized youth sports could not exist. We celebrate those dedicated heroes and make it our mission to help them do what they do best.

GameChanger is a technology company providing team management, scorekeeping, and live fan experiences that keep athletes connected with the team community. With GameChanger, coaches and parents can organize and follow their athlete's journey in a simple and powerful way.

We're headquartered in downtown Manhattan and are proud to be part of the DICK'S Sporting Goods family.

The Role:

We are looking for a Data Analyst to embed within a cross-functional team alongside product, engineering, marketing, and design. In this role, you'll develop metrics and generate insights to help guide decision-making, with the goal of building better products. The Data Analyst role is perfect for someone who is curious and creative, with the ability to learn new skills to get the job done. You'll use and grow your excellent collaboration and communication skills to translate business questions into data questions, and then deliver findings to broad audiences.

You will:
Own the measurement of new product features, transforming the data in the warehouse, and reporting the results
Work with product managers to define meaningful metrics
Build data visualizations and dashboards that clearly communicate findings
Identify opportunities for experimentation and recommend appropriate methodology
Generate hypotheses for future product features
Translate ad-hoc requests into reusable data tools that can scale to answer broader questions
Mentor cross-functional teammates to level up as consumers and users of data
Requirements:
Bachelor's degree (or equivalent) that includes some quantitative coursework (economics, statistics, research methods, etc.)
2+ years in a cross-functional or stakeholder-focused data role
Proficiency writing SQL and working with relational databases
Experience with BI tools (we use Looker) and data visualization
Excellent written, verbal, and graphic communication skills with both technical and non-technical colleagues
Optional Experience:
Cross-functional experience at a consumer software company
Knowledge of statistical concepts (experimental design, confidence intervals, regression analysis, causal inference, A/B testing)
Some proficiency in Python, R, TypeScript, or other scripting languages
Version control & GitHub
The Perks:
Be part of a diverse team of genuinely kind individuals dedicated to improving the lives of our customers.
Flexible full-time remote and occasional work from home options.
Benefits include medical, vision, prescription, dental, FSA/HRA, and coverage for family/dependents.
Generous maternity / paternity leave policy.
Well-furnished, modern office with a rich supply of snacks and drinks.
Commuter Benefits.
Learning opportunities including clubs, lunch tech talks, conference attendance, and participation in hack days.
Organized lunches and team outings.
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",Data Analyst,"New York, NY",4.4,Unknown / Non-Applicable,56 k$-105 k$ (Esti. de Glassdoor),Information Technology,51 to 200 Employees,Company - Public
