Company Name,Founded,Industry,Job Description,Job Title,Location,Rating,Revenue,Salary Estimate,Sector,Size,Type of ownership,hourly,min_salary,max_salary,avg_salary,company_txt,job_state,age,python_yn,R_yn,spark,aws,excel,mathematics,finance,modeling,statistics,vba,C++,portfolio_theory,derivatives,trading,data_science,sql
"Cogo Labs
3.6",2005,Internet,"At Cogo Labs, we build startup companies from scratch. We are looking for entry level analysts to join our team as Quantitative Data Analysts.

We're not venture capitalists we're a collaborative, ambitious, and passionate team of engineers, analysts, and entrepreneurs using innovative tools, big data, and intellectual curiosity to build a platform that spins up successful online businesses, fast.

As a Cogo Labs Quantitative Data Analyst, you'll run and grow business lines within our incubator. You'll design and implement marketing programs, analyze performance metrics, and use the insights you gain to drive growth in audience engagement and revenue. Your expertise, ideas, and hard work will have a direct and immediate impact on the success of your project.

A little bit about us:
Near obsessive use of data to inform business decisions. We believe that efficient growth happens when we make every decision based on a solid, well-directed analysis.
Unmatched opportunity. We believe in mentoring people to grow as quickly as they can. Today's new grad hires are tomorrow's leaders.
Flexibility and novelty. Your role will define itself over time, as you identify the problems that you are uniquely capable of solving.
A fun, inclusive, and supportive culture. Happy employees are the most successful. We are empathetic and take care of each other, and not just because it's good business.

What we expect from you:
A bachelor's degree in a field that requires deep analytical thinking and problem solving. Many of us have Math, Econ, Engineering, or Comp Sci backgrounds, but applications from all quantitative fields are welcome.
0-2 years of experience in an analytics focused role.
Flexibility and self-motivation. We value the willingness and excitement to wear many hats and the commitment to work on a wide variety of analytical and business problems.
The ability and desire to make a strong data-driven case when presenting findings and recommendations, while remaining curious and receptive to feedback.
An effective communicator, articulate in stating project missions, updates, decisions, and rationales verbally and in writing.
Proactive in developing new ideas and initiating growth opportunities.
Demonstrated ability to work effectively as part of a team, and dedication to being supportive in helping your teammates learn.
Familiarity with technical tools such as SQL and Python.
Bonus points if you've previously been responsible for a business unit's bottom line.
If you're reading this and questioning whether you should apply, apply! There's no such thing as a perfect candidate, and we don't expect you to check every box. We're inspired by the uniqueness that people like you bring to the table. The companies that we incubate are only as innovative as the breadth of lived experiences shared by the teams building them. We can't wait to read your application!

Cogo Labs is an equal opportunity employer and individuals seeking employment with us are considered without regards to race, color, religion, national origin, age, sex, marital status, physical or mental disability, veteran status, gender identity, sexual orientation, or any other characteristic protected by law.",Quantitative Data Analyst,"Cambridge, MA",3.6,Unknown / Non-Applicable,60 k$-63 k$ (Esti. de Glassdoor),Information Technology,51 to 200 Employees,Company - Private,0,60,63,61.5,"Cogo Labs
", MA,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"DTCC
3.9",1973,Brokerage Services,"Quantitative Analyst

Are you ready to explore a world of possibilities?

Join our DTCC family, and you’ll grow your expertise and become the best version of you. As you embark on a new journey, you’ll tackle challenges with flexibility and grace, learning new skills and advancing your career while having the time of your life.

Why You’ll Love This Job:

Being a member of our Risk Management team, you’ll work to protect the safety and soundness of our systems and are responsible for identifying, managing, measuring and mitigating a spectrum of key risk types including credit, market, liquidity, systemic, operational and technology in all existing and new products, activities, processes and systems.

Responsibilities:

The candidate is primarily responsible for designing, developing, testing, and maintaining stress test models or tools and performing Stress Test related analyses and reporting.
Design and implement stress testing scenarios
Perform analytical analysis such as attribution analysis to explain stress testing risk metrics results
Conduct quality assurances and controls on data
Maintain stress testing related functions in QRM's Production System, including setting up scheduled jobs to perform stress testing calcuations
Aligns risk and control processes into day to day responsibilities to monitor and mitigate risk; escalates appropriately
**NOTE: Responsibilities of this role are not limited to the details above. **

Talents needed for success:
1+ years of hands-on experience in quantitative analysis, preferable in credit risk or market risk modeling
Minimum 6 years of related work experience
Excellent communication skills, both oral and written.
Must have excellent interpersonal skills
Self-motivated and able to work independently.
Have a general knowledge about the financial market, products, risk management (such as VaR modeling) and risk metrics (such as back testing).
Solid programming skills in data processing language such as SQL, Python. R, Matlab are pluses.
Must have a Ph. D or a Master’s degree in a quantitative field, preferably in applied economics, econometries, statistics or financial engineering.",Quantitative Analyst,"Dallas, TX",3.9,$1 to $2 billion (USD),99 k$-192 k$ (Esti. de Glassdoor),Finance,1001 to 5000 Employees,Company - Private,0,99,192,145.5,"DTCC
", TX,47,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1
"Frontier Communications
2.6",1935,"Cable, Internet & Telephone Providers","Analyst, Call Center Operations

Frontier is looking for a Data Analyst who will focus on exploratory analysis, specifically supporting customer care operations.

You will be a strong problem solver, equipped with strong analytical and quantitative skills suited to approach various kinds of challenges in complex environments. You are a quick learner with a strong sense of personal responsibility and a technical orientation.

Key Qualifications

Strong coding skills and experience with data entry and extraction methods.
Strong MS Excel skills
Proficiency in writing code in SQL. R and Python preferred.
Proficiency in MS Office suite of products (Access, Excel, PowerPoint and Word).
Experience with Alteryx and data visualization tools like Spotfire or Tableau would be preferred.
3-5 years of analytics experience in supporting business functions
Strong product intuition, data analysis skills and business presentation skills.
Capable of working with large sets of data in a variety of tools
Delivery-oriented, able to lead and execute analysis efforts from start to finish
Great teammate, strong communication skills, go-getter

Description

Analyze data covering a wide range of information from customer profile to customer churn, to product profitability.
Partner closely with the care operations analytics team, sales and marketing teams to help deliver meaningful insights that support compelling storytelling through data.
Identify new patterns through data mining. Conduct hypothesis driven exploratory analysis, bring insights into a structured communication / presentation to cross functional teams.
Create / automate customer segments, campaign and initiative specific performance reports.
Work with large volumes of data; extract and manipulate large datasets using tools such as SQL.

Education & Experience

Degree in the Computer Science, Business Analytics, Finance, Statistics, or equivalent quantitative discipline","Analyst, Call Center Ops","Tampa, FL",2.6,$5 to $10 billion (USD),11 $-20 $ Par heure(Esti. de Glassdoor),Telecommunications,10000+ Employees,Company - Public,1,11,20,15.5,"Frontier Communications
", FL,85,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1
"Guidehouse
3.6",2018,Consulting,"Overview

Guidehouse is a leading management consulting firm serving the public and commercial markets. We guide our clients forward towards new futures that build trust in society and your professional skills along the journey. Join us at Guidehouse.

Responsibilities

In the position of Data Scientist, the incumbent will support the Naval Air Systems Command (NAVAIR) in a once-in-a-generation digital transformation, driving change and devising how data can be integrated, controlled, distributed, and accessed by programs, business units and operators across the enterprise. Guidehouse is seeking an enthusiastic data scientist with the desire to harness data through the application of data science principles, tools, and methods and to share this knowledge as a mentor and coach for others. The individual will support the NAVAIR Digital Group in establishing practical and applied data science practices at NAVAIR, and in solving complex problems that have data driven solutions. This individual will additionally mentor and instruct employees during this process with the goal or sharing their knowledge and growing the data science skill base in Southern Maryland at Patuxent River.

Qualifications

Security Clearance:

Must have an Active Secret Clearance or above.

Responsibilities

• Work with large, complex data sets. Solve difficult, non-routine analysis problems, applying advanced analytical methods as needed. Conduct end-to-end analysis that includes data gathering and requirements specification, processing, analysis, ongoing deliverables, and presentations.

• Build and prototype analysis pipelines iteratively to provide insights at scale. Develop comprehensive understanding of data structures and metrics advocating for changes where needed for both products development and sales activity.

• Interact cross-functionally with a wide variety of people and teams. Work closely with engineers to identify opportunities for, design, and assess product improvement.

• Make business recommendations (e.g. cost-benefit, forecasting, experiment analysis) with effective presentations of findings at multiple levels of stakeholders through visual displays of quantitative information.

Required Skills

2 years of relevant work experience in data analysis or related field. (e.g., as a statistician / data scientist / computational biologist / bioinformatician). Experience with statistical software (e.g., R, Python, Julia, MATLAB, pandas) and database languages (e.g., SQL). +Experience with data modelling and analytics
Able to clearly communicate (speaking and writing) technical concepts to a non-technical audience + Experience with data engineering and data security practices
Experience managing, unifying, and automating dataflows from disparate sources

Required Experience

Bachelors Degree. Heavy preference given to Computer Science, Mathematics, Statistics, Information Science, or a similar quantitative field or 7 years related work experience with Bachelors
2 to 4 years of programming experience with the ability to write / maintain scripts in Python (or other scripting languages)
Strong understanding of SQL
Working knowledge of data format conversion
Excellent communication skills, both verbal and written.
Ability to work both independently and as part of a team.
Strong problem solving skills.
Ability to maintain a DOD Secret clearance throughout employment is required.

Desired experience

Experience working on agile programs
Experience with agile tools such as JIRA and Confluence
Understanding of cloud architecture + Experience working with NoSQL databases
2 years of relevant work experience in data analysis or related field. (e.g., as a statistician / data scientist / computational biologist / bioinformatician).
Experience with statistical software (e.g., R, Python, Julia, MATLAB, pandas) and database languages (e.g., SQL).

Additional Requirements

The successful candidate must not be subject to employment restrictions from a former employer (such as a non-compete) that would prevent the candidate from performing the job responsibilities as described.

Disclaimer

About Guidehouse

Guidehouse is an Equal Employment Opportunity / Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, national origin, ancestry, citizenship status, military status, protected veteran status, religion, creed, physical or mental disability, medical condition, marital status, sex, sexual orientation, gender, gender identity or expression, age, genetic information, or any other basis protected by law, ordinance, or regulation.

Guidehouse will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of applicable law or ordinance including the Fair Chance Ordinance of Los Angeles and San Francisco.

If you have visited our website for information about employment opportunities, or to apply for a position, and you require an accommodation, please contact Guidehouse Recruiting at 1-571-633-1711 or via email at RecruitingAccommodation@guidehouse.com. All information you provide will be kept confidential and will be used only to the extent required to provide needed reasonable accommodation.

Guidehouse does not accept unsolicited resumes through or from search firms or staffing agencies. All unsolicited resumes will be considered the property of Guidehouse and Guidehouse will not be obligated to pay a placement fee.

Rewards and Benefits

Guidehouse offers a comprehensive, total rewards package that includes competitive compensation and a flexible benefits package that reflects our commitment to creating a diverse and supportive workplace.

Benefits include:

Medical, Rx, Dental & Vision Insurance

Personal and Family Sick Time & Company Paid Holidays

Parental Leave and Adoption Assistance

401(k) Retirement Plan

Basic Life & Supplemental Life

Health Savings Account, Dental/Vision & Dependent Care Flexible Spending Accounts

Short-Term & Long-Term Disability

Tuition Reimbursement, Personal Development & Learning Opportunities

Skills Development & Certifications

Employee Referral Program

Corporate Sponsored Events & Community Outreach

Emergency Back-Up Childcare Program",DOD Data Scientist/Engineer,"Patuxent River, MD",3.6,Unknown / Non-Applicable,94 k$-155 k$ (Esti. de Glassdoor),Business Services,5001 to 10000 Employees,Company - Private,0,94,155,124.5,"Guidehouse
", MD,2,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1
"Driven Brands, Inc.
2.2",2006,Automotive Parts & Accessories Stores,"Overview:

Driven Brands™, headquartered in Charlotte, NC, is the parent company of some of North America’s leading automotive aftermarket brands including Take 5 Oil Change, Meineke Car Care Centers, Automotive Training Institute, Maaco, CARSTAR, ABRA, Uniban, International Car Wash Group, FIX Automotive, 1-800-Radiator & A/C and PH Vitres d’Autos. Driven Brands has over 3,100 centers across the United States and Canada, and combined, all businesses generate more than $3.1 billion in system sales and service approximately 9 million vehicles annually.

Driven Brands is the quintessential growth company, more than tripling its revenues, brands, employees, and profits over the past six years. The primary focuses of the company are growing its franchisee’s profitability, all brands’ unit count and creating opportunities for its employees, franchisees, and investors. Our culture of meritocracy inspires high performance and innovation among our employees. We enable our employees and franchisees to go further, faster— generating growth for our franchisees' businesses and our employees' careers. For more information, visit drivenbrands.com.

Responsibilities:

The role of the performance analyst is to provide strategic business analysis and forecasts for various departments in support of corporate goals and objectives.

Determine operational objectives by studying business functions; gathering information; evaluating output requirements and formats
Develop quantitative forecasting models to predict future revenue and operational performance
Provide consultative and technical support to executive team, franchisees, and other strategic decision-making groups
Create informative, actionable and repeatable reporting that highlights relevant business trends and opportunities for improvement
Collaborate with project managers, system owners, and end users to further refine business operations, requirements, and, goals.
Analyze the effectiveness and efficiency of business processes and develop strategies for enhancing them.
Interpret, evaluate, and interrelate research data to develop integrated business analyses and projections for incorporation into strategic decision-making
Conduct insightful, ad hoc analyses to investigate ongoing or one-time operational issues
Perform data analyses as requested; develop and present ad hoc reports in support of various business process initiatives both internally and externally.
Support and drive initiatives as directed by Performance Manger
Design, develop, and distribute training for impacted business users.
Provide effective and timely response to all communications.
Qualifications:
Bachelor’s degree or equivalent experience in finance or business related field.
A minimum of 2 years’ experience in business analysis or a related field
Functional / Technical Knowledge:
Proficient in Microsoft Office, with advanced Microsoft Excel skills
Experience with Data Visualization tools and techniques, QlikSense knowledge a plus
Fundamental analytical and conceptual thinking skills
Limited travel based in Charlotte

IND1",Performance Analyst,"Charlotte, NC",2.2,$2 to $5 billion (USD),34 k$-54 k$ (Esti. de Glassdoor),Retail,1001 to 5000 Employees,Company - Private,0,34,54,44.0,"Driven Brands, Inc.
", NC,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"Grow Financial
3.6",1955,Banks & Credit Unions,"Overview


At Grow Financial, we believe in service—to our 200,000+ members, 550+ team members and local communities. We know happy, engaged people provide the best service, so we live by our mantra: Be Bold. Be Great. Have Fun. (Especially the fun part!) Yes, our work is serious, but we don’t take ourselves too seriously. Consistently named a Top Workplace by the Tampa Bay Times and a Great Place to Work among 100 Best Medium Workplaces by FORTUNE Magazine®, we cultivate a positive, collaborative work environment where you can grow personally and professionally. In fact, 94% of our team members say Grow is a great place to work. And the most common word they use to describe the Grow culture? Family.

Responsibilities


Performs advanced business analysis using various techniques, e.g. statistical analysis, predictive modeling, machine learning and data mining. Responsible for gaining an in-depth understanding of business problems as it relates to the visibility (insights), and feasibility an analytic solution would provide. Works closely with functional areas and business leaders to identify analytical requirements. This includes development and deployment of analytic models, supporting overall Grow and departmental strategic objectives, recommending profitable and/or cost-effective solutions that enhance member experiences or modernize processes; and collaborating with business partners to promote data-driven decision making.

Data Analytics
Interprets and analyzes large amounts of data using exploratory mathematical and statistical techniques.
Builds predictive models, selects features, and optimizing classifiers using machine learning techniques.
Identifying and extending credit union’s data capabilities with third-party sources of information.
Processing, cleansing, and verifying the integrity of data used for analysis.
Analyzes problems and determines root causes.
Business Analysis
Works with functional areas and business leaders to identify analytical requirements and define a problem statement.
Identify assumptions, limitations, constraints, and the key metrics of success to business problems.
Summarize analytical data into user-friendly reports translating highly technical, detailed data into appropriate recommendations and key metrics requested by management and various business lines.
Advise business partners on options, constraints, risks, costs, and benefits of proposed projects.
Qualifications
Bachelor of Arts/Science degree from an accredited college or university in Statistics, Mathematics, Computer Science or related discipline required. Master’s degree preferred.
3 – 5 years of work experience with financial, analytical, or related research experience required.
Expert knowledge of Microsoft Office applications (Word, Excel, and Power Point) required.
Strong quantitative analysis skills using statistical software such as R, SQL and Python required.
Experience working with large datasets. Extensive knowledge of statistical methodologies including hypothesis testing, linear regression, modeling, simulation, and analysis of variance.
Knowledge of relational database technology and business intelligence tools (e.g. Tableau).
Must be comfortable working on projects in an agile, iterative or multi-generational manner.
Eager to learn, enthusiastic, motivated and a self-starter.
Must be an analytical thinker and problem solver, as well as possess and display effective organizational and communication skills.
Ability to manage multiple priorities and work under deadline with minimal supervision required.
PHYSICAL DEMANDS
Must be able to sit for extended periods of time.
Must be able to read, write, speak and type English.
Must be able to hear and use a telephone.
Use of computer requires repetitive keystrokes.
WORK ENVIRONMENT
Traditional office setting; remote work available.
Sedentary role
Excellent Benefits * 401K Plan * Competitive Pay * Business Casual Environment * Service-Minded Team Attitude * Positive Workplace * Exciting Growth Potential & More

An Equal Opportunity Employer Minorities/Females/Veteran/Disabled",Data Analyst,"Brandon, FL",3.6,$50 to $100 million (USD),35 k$-62 k$ (Esti. de Glassdoor),Finance,501 to 1000 Employees,Nonprofit Organization,0,35,62,48.5,"Grow Financial
", FL,65,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1
"Busey Bank
3.4",1979,Banks & Credit Unions,"Duties and Responsibilities:

Facilitates the completion of a variety of risk assessments across the enterprise and maintains a risk-based risk assessment schedule.
Creates and maintains risk and control self-assessments (RCSAs) in alignment with business operations, regulatory programs, and products, services and delivery channels; creates ad hoc assessments to address new or emerging risks and/or regulations.
Plays a key role in the Second Line of Defense by ensuring critical initiatives, programs, and processes are appropriately assessed and documented and also by challenging the First Line of Defenses’ risk and control assessment ratings.
Analyzes and monitors the risk and control environment to identify gaps in existing or proposed processes to ensure that exposures are kept at acceptable levels and consults with Line of Business leaders, as appropriate, on risk mitigation plans.
Develops, analyzes and presents audience-appropriate risk reports to Line of Business Leaders, Executive Management, Committees and Boards that illustrate the Company’s risk profile and highlight key risk areas.
Creates reporting and tracking of risk issues and control weaknesses/exceptions to ensure appropriate and timely remediation.
Acts as the primary administrator for the Company’s governance, risk and compliance (GRC) platform, RSA Archer®, and assists and trains management and associates on platform capabilities,
Coordinates with third-party vendors to ensure GRC platform is properly maintained
Coordinates with internal departments to roll out and implement new platform capabilities
Operates as the Company’s RSA Archer® Subject Matter Expert and trouble-shoots issues and questions
Works closely with Second and Third Line of Defense functions to ensure that audit findings, monitoring exceptions, known control failures and other related risk and control issues are properly linked to ensure a wholistic view of risk across all Lines of Defense.

Qualifications:

5-7 years’ experience (preferably) in risk management, auditing, or bank operations functions; financial industry experience required.
2-4 years’ experience using RSA Archer® required; 1-3 years’ experience in a super-user or administrator role preferred.
Advanced knowledge of Microsoft Office Suite required; Business Intelligence (BI) tools experience preferred.

Education:

Requires Bachelor’s degree in Accounting, Finance, Economics or Business Administration (or equivalent) required.

EOE of Minorities/Females/Vets/Disability",Risk Management Analyst,"Champaign, IL",3.4,$100 to $500 million (USD),28 k$-66 k$ (Esti. de Glassdoor),Finance,1001 to 5000 Employees,Company - Public,0,28,66,47.0,"Busey Bank
", IL,41,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"One Workplace
3.6",1947,Building & Personnel Services,"Data Analyst

We are OpenSquare. We believe that people with a purpose need a place to be their best. From Seattle area skyscrapers to the Pacific Northwest’s premier Universities and medical facilities, we design and create insightful spaces with the latest technology providing our clients an environment that embodies their image and encourages success. Splice is the professional services division of OpenSquare, providing FF&E project integration, post-occupancy and MAC management for some of the most well-known companies in the Seattle area.
The Data Analyst provides critical business intelligence for the Splice team, specifically focused on building in-depth knowledge of relevant databases, processes and programs. Additionally, this role provides strategic information to key stakeholders through data mining of corporate databases and by deeply understanding business processes and programs. This role will also drive the development and communication of business performance reporting analysis
Location: South Lake Union
*Please note that due to an influx of candidate submittals, we are only reviewing candidates located in the Seattle/surrounding cities area*
The Data Analyst will:
Work closely with account managers and other stakeholders to support customer data questions and analysis
Interpret data and identify trends using statistical techniques, generate reports and visualizations
Support development and maintenance of databases, data collection systems, analytics and other strategies to optimize operational efficiency
Develop a deep understanding of the processes underlying our data to identify opportunities for data integrity, normalization and quality assurance initiatives
Develop metrics and dashboards for monitoring data trends or telling stories
Train end users on new tools, reports and dashboards
Qualified Candidates will have:
1-3 years’ experience in data analysis, modeling and/or visualization. Education may be substituted in lieu of work experience
Bachelor’s degree from an accredited university in a quantitative field
Experience with Python & SQL required
Experience with Tableau, Bokeh or other data visualization tools is heavily preferred.
Ability to work with stakeholders to assess potential risks
Ability to translate business needs into non-technical, lay terms
Experience handling large data sets
Benefits include:
15 days of PTO
9 Paid Holidays
Medical/Dental/Vision
401K
If this sounds like the right opportunity for you, please apply with your resume today! We look forward to connecting.
Exempt",Data Analyst,"Seattle, WA",3.6,$100 to $500 million (USD),37 k$-67 k$ (Esti. de Glassdoor),Business Services,501 to 1000 Employees,Company - Private,0,37,67,52.0,"One Workplace
", WA,73,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"Codecademy
3.5",2011,Education Training Services,"Hello, World! Codecademy has helped tens of millions of learners upgrade their careers, build meaningful projects and gain confidence in their skills with engaging, accessible, and flexible education on programming and data skills. We provide hands-on interactive lessons ranging from Python to R to Javascript and everything in between. Our learners have gone on to start companies, new jobs, and new lives thanks to what they've learned with Codecademy, and we're thrilled to be working to take that impact to the next level.

Codecademy was started in 2011 by two college students in a dorm room at Columbia that were frustrated by the huge gap between education and employment. Almost a decade later, we are a rapidly growing, diverse team of 100+ headquartered in SoHo, NYC. We've raised over $40m in venture capital funding from top investors including Union Square Ventures, Kleiner Perkins, Naspers, Y Combinator, and more.

If you want to help build a business that impacts tens of millions of people each year and helps them lead better lives, join us!

WHAT YOU'LL DO


As a Senior Data Scientist focused on Analytics and Experimentation, you will work on an impactful team to analyze our millions of learners. We capture terabytes of data on how users engage with our platform. As Codecademy continues our rapid growth, we want to build a data-informed culture that uses hypothesis testing, experimentation, and exploratory analysis to guide our decision-making process.

You will join a small but growing team of Data Scientists. Our work is in high-demand from all corners of Codecademy. We work on a variety of problems and have a real impact on the business and product. If you have a proven background in data and you are excited about making code education accessible, we want to hear from you!
Apply exploratory data analysis and causal inference to answer complex questions about our users.
Collaborate across teams to help scope out analyses, through a combination of experimentation (A/B testing) and quantitative user research.
Design experiments and evaluate results to test and iterate on new product ideas.
Perform deep dives into our data to build understanding around our business.
Work with our data science and engineering teams to maintain data integrity.
Mentor and consult with a cross-functional team of data scientists, engineers, and product managers.
WHAT YOU'LL NEED
4+ years of industry experience in a data science, analytics, or research role. You have strong data intuition and knowledge of using data science best practices to drive impact.
Expert SQL - we use Redshift. Able to write clean and efficient queries on massive datasets.
Applied experience with statistical programming languages - R or Python preferred.
Understanding of statistical methods and when to use them (hypothesis testing, experiment design, sampling).
Strong written and verbal communicator. Comfortable working with loosely defined research problems.
WHAT WILL MAKE YOU STAND OUT
Background in experimentation and measurement. We're looking to streamline our experimentation reporting framework and would love your help.
A workflow involving reproducible methods and version control - Github, Docker.
Experience automating dashboards with business intelligence tools - Looker, Tableau.
Passionate about teaching the world to code. Empathy for our learners, such as a background in education or past experience using our site.
INTERESTING QUESTIONS YOU MIGHT WORK ON
What are some different types of patterns in user behavior?
What do we do when we are unable to conduct an experiment?
Can we predict whether a learner will renew their subscription?
How do we improve the relevance of our course recommendations?
How can we scale our existing processes? (experiment reporting framework, forecasting)
At Codecademy, we are committed to teaching people the skills they need to upgrade their careers. Codecademy aims to educate a richly diverse demographic of learners with our product and in order to accomplish this, we believe our team should reflect that rich diversity. Our company celebrates diversity in all of its forms-- race, gender, color, national origin, marital status, sexuality, religion, veteran status, age, ability, disability status-- and works to create an inclusive workplace where people of all backgrounds and beliefs are empowered to better their futures.","Senior Data Scientist, Analytics & Inference","New York, NY",3.5,Unknown / Non-Applicable,97 k$-160 k$ (Esti. de Glassdoor),Education,51 to 200 Employees,Company - Private,0,97,160,128.5,"Codecademy
", NY,9,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"CareCentrix
3.8",1996,Health Care Services & Hospitals,"As a senior member of the Medical Economics team, you will manage the analytic reporting and analysis to support CareCentrix strategic and tactical needs, and to fulfill contractual requirements for external health plan clients. You will analyze extensive financial and healthcare utilization data to develop insights that support business decision and cost savings for CareCentrix.

In this Job, you will:
Perform analysis of complex and varied healthcare data.
Be responsible for financial modeling, reserving and risk forecasting.
Assess financial impact and outcomes.
Develop and maintain dashboards of key performance metrics for clients.
Make assessments about health care costs and trends, quality and outcomes.
Present reports and analytic results.

This is the job for you if:

You love data mining - extracting, collecting and analyzing data that results in cost savings opportunities.
You are passionate about fixing health care and believe that one of the best ways to do that is by helping improve the quality and access to care in the home.
You love to learn and are curious to understand the nuances of a situation.
You like to move fast. Living in the gray space does not slow you down. You enjoy working through ambiguity and a changing market environment.

You should get in touch if:

You have a Bachelor's Degree in Finance, Economics, Statistics or similar required.
You have 3+ years background in healthcare industry and analytics.
You think in quantitative terms. You know financial modeling, Excel, SQL, and Tableau.
You have client facing experience and know how to present findings and recommendations.
You can look at complex data sets of information to reach conclusions and collect / report on data.
You have some answers but not all of them. You know every healthcare problem is unique and approach problems with questions not answers.
You are fun to work with! We take our commitment to patients seriously, but we don't take ourselves seriously. We are looking for team members who bring joy to the work they do.

CareCentrix maintains a drug-free workplace.

We are an equal opportunity employer. Employment selection and related decisions are made without regard to age, race, color, national origin, religion, sex, disability, sexual orientation, gender identification, or being a qualified disabled veteran or qualified veteran of the Vietnam era or any other category protected by Federal or State law.

PI125303563",Senior Analyst - Medical Economics,"Tampa, FL",3.8,$1 to $2 billion (USD),46 k$-100 k$ (Esti. de Glassdoor),Health Care,1001 to 5000 Employees,Company - Private,0,46,100,73.0,"CareCentrix
", FL,24,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1
